id,item name,item image 1,item image 2,item description,true category lost,true category found,true accepted reports lost,true accepted reports found,predicted category lost,accepted reports lost,response time lost,correct category lost,correct accepted lost
1,Necklace,https://drive.google.com/uc?export=download&id=1tLXH_ZXOp0n92BKKpTKmZX70g4z8TTZW,https://drive.google.com/uc?export=download&id=1Ul9L1lHZTVB9herE9Ab_zHX9PZSDaybf,Golden necklace,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,8.683419942855835,True,True
2,Gold Bracelet,https://drive.google.com/uc?export=download&id=1HVUfJwjDQ7oYUgw7V4vwcy4WBCSJh_CD,,A gold band bracelet,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.2521698474884033,True,True
3,خاتم,https://drive.google.com/uc?export=download&id=13qI5m9vSEQha130iwZrIW9ZSRV57Owlt,https://drive.google.com/uc?export=download&id=1j0nbwrTTH8ule7nrBR7_sR7sCQ8PVRgn,خاتم ذهبي,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,8.809203386306763,True,True
4,خاتم,https://drive.google.com/uc?export=download&id=153zOM6t4BUt2stkXl_JTz2kYiftKhzEC,https://drive.google.com/uc?export=download&id=17gEGgwn7C5pSmZN-0PvpODFijmBz7_vo,خاتم يد فضي,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,6.213510036468506,True,True
5,bracelet,https://drive.google.com/uc?export=download&id=1Bo6_Lu0dsLuHhMYXq-9xQDe_ADLIaS4D,,silver pandora bracelet that has a blue moon in the center,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.6226999759674072,True,True
6,ساعة,https://drive.google.com/uc?export=download&id=15XDCEfYuapoepaB4AMlR9kBYcwO6tLV-,,ساعة يد,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.2653450965881348,True,True
7,ساعة,https://drive.google.com/uc?export=download&id=1RMsGCxnUVgXxB8uPD4dIhyfZMn8_bGRl,,ساعة نسائية,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.142731189727783,True,True
8,خاتم,https://drive.google.com/uc?export=download&id=1rcCuVF7CHN73pBF8SwxpF9fO9VLOXiZs,,خاتم يد ذهب,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.9512388706207275,True,True
9,نظارة,https://drive.google.com/uc?export=download&id=10poks-O0C1-iOC9ncB4kaJxF7rB3FgKW,,نظاره سوداء,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.161954164505005,True,True
10,اسوارة,https://drive.google.com/uc?export=download&id=1GHUcfkoDuOy8ayU-2S9Lu7kIfRpKzb1x,,اسوارة ذهبية,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,5.829024076461792,True,True
11,اسوارة,https://drive.google.com/uc?export=download&id=17LkJhkd7eG4KSbzodunXbSu9pPvr1KqX,,اسوارة ذهب,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.4480881690979004,True,True
12,نظارة,https://drive.google.com/uc?export=download&id=1D3723nvBlsI33buFrtWGU2I7marNmaqa,,نظارة طبيه لون الايطار فضي واطرافها سوداء,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,6.5174150466918945,True,True
13,ساعة,https://drive.google.com/uc?export=download&id=12H-RKnt5bZDXRqzpuO82lJgaid6gui3z,,ساعة فضية أنيقة بتصميم كلاسيكي أنيق,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,4.876223087310791,True,True
14,سوارة ذهبية,https://drive.google.com/uc?export=download&id=1cPWLuM2kOkMkA1p9rpwC_WCjtsK0BfYG,,سوارة ذهبية مكتوب عليها عبارة imagine your face say Hello to me,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.29773211479187,True,True
15,Necklace,https://drive.google.com/uc?export=download&id=1PNQm3sk3KJkBlP9KjHL4OdDv_SaRsmrg,,Gold necklace with an ornament,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,1.8573451042175293,True,True
16,نظارة طبية,https://drive.google.com/uc?export=download&id=18CL8ebBMYOcN9JlYHkTYnwqucFQLNMvP,,نظارة جوانبها لون اسود و إطار العدسات شفاف,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.5492961406707764,True,True
17,مسبحة,https://drive.google.com/uc?export=download&id=108T4a33Rx-7ntizA8ZFY89Y_7CKDUGIc,,مسبحة بعدد ٢٠٠ حبة لونها بني غامق و بيج و خشبية الصنع,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.999094009399414,True,True
18,Black Bag,https://drive.google.com/uc?export=download&id=1FtSc5cU10UBix5ROkrlaUVR8KU_x-nKq,,A medium sized black shoulder bag,bags and wallets,bags and wallets,True,True,bags and wallets,True,2.241067886352539,True,True
19,Bag,https://drive.google.com/uc?export=download&id=1-vud7oVg8qBHZa6c6OolppOmO9Kx-Lea,,Black leather tote bag,bags and wallets,bags and wallets,True,True,bags and wallets,True,3.994997024536133,True,True
20,شنطة,https://drive.google.com/uc?export=download&id=1mdeyUWG3y8OPqZkBN88ojiwhRL9yBTD-,,شنطة نسائية,bags and wallets,bags and wallets,True,True,bags and wallets,True,5.790953874588013,True,True
21,محفظة نقود,https://drive.google.com/uc?export=download&id=1FY8mWKvkGzKR6slW9Ss4kuBu1sP_Q8U8,,محفظة نقود نسائية,bags and wallets,bags and wallets,True,True,bags and wallets,True,5.192291259765625,True,True
22,شنطة,https://drive.google.com/uc?export=download&id=1rudZRQLPW1Jz_5sHHwa3W3MlQMXWNnMG,,شنطة صغيرة,bags and wallets,bags and wallets,True,True,bags and wallets,True,13.345270156860352,True,True
23,محفظه,https://drive.google.com/uc?export=download&id=1Nq-et2eQM2RvKPd0s_4vOAV8Xeo8RNrw,,محفظه بنيه داخلها كحلي,bags and wallets,bags and wallets,True,True,bags and wallets,True,4.274366855621338,True,True
24,حقيبة,https://drive.google.com/uc?export=download&id=1dZjpG8VRj6cdKCWCeDXQah0iCTYWXB9J,https://drive.google.com/uc?export=download&id=11QcOcnSTt3wJNpRCYBcnEzybolqc9jiq,حقيبة يد للاستعمال اليومي,bags and wallets,bags and wallets,True,True,bags and wallets,True,4.108205795288086,True,True
25,حقيبة,https://drive.google.com/uc?export=download&id=1msW6IvQoHtolhIOcmrDTYqdB9uZ67vSN,https://drive.google.com/uc?export=download&id=18mCKkGHLUd9WBq-iT4RZqfr2hbBseuy_,حقيبة يد يومية,bags and wallets,bags and wallets,True,True,bags and wallets,True,8.016223907470703,True,True
26,محفظة,https://drive.google.com/uc?export=download&id=1g4JMmMFZhV2Rh1URLcaolI1OIDJFKMAr,https://drive.google.com/uc?export=download&id=1fZFQVXgGn4E0BuK_HRUWaR4RP0MjY4jJ,محفظة نقود,bags and wallets,bags and wallets,True,True,bags and wallets,True,7.737848997116089,True,True
27,محفظة,https://drive.google.com/uc?export=download&id=1Qy0E8c3pBBekkVHKXKn-6LIDrcsUngsH,https://drive.google.com/uc?export=download&id=1ZlmjoREnUx71OJktcQIiPyNAjQ2St20w,محفظة نقود,bags and wallets,bags and wallets,True,True,bags and wallets,True,8.287605047225952,True,True
28,Black Tshirt,https://drive.google.com/uc?export=download&id=1Tu1TyBgSn0TMRyy2R6DsiG6GPypczQub,https://drive.google.com/uc?export=download&id=169AhuiMebNrFfFczI3BKq5g_vlxkCmMJ,Large size t shirt with a logo,clothing,clothing,True,True,clothing,True,2.2440531253814697,True,True
29,T-shirt,https://drive.google.com/uc?export=download&id=1XgAGtbZyPT3ehVnn3vofmIn2S1zMoRzn,https://drive.google.com/uc?export=download&id=13y-B4Skrps4HYRu4ebA57pBvUh1uslVs,Green T-shirt with written text,clothing,clothing,True,True,clothing,True,8.793394088745117,True,True
30,قبعة,https://drive.google.com/uc?export=download&id=13y4IRZ-8loLfSIaB7lG4KqPsBvH4RXev,,قبعة صفراء عليها رسمة,clothing,clothing,True,True,clothing,True,5.648046970367432,True,True
31,شرابات,https://drive.google.com/uc?export=download&id=1Z2xCprjZ7VW7NO3j8SvA4oTvx6oN4dJI,,شرابات نايك بيضاء,clothing,clothing,True,True,clothing,True,5.152884006500244,True,True
33,هودي اخضر,https://drive.google.com/uc?export=download&id=1p21k_m8EGHauQgz9bs9tksntNjaf-moA,,هودي اخضر والحبال حقته اخضر وبيج,clothing,clothing,True,True,clothing,True,4.414925813674927,True,True
34,black cap,https://drive.google.com/uc?export=download&id=1-tnXgrukAQqwiYieSlMhKtwy52wveKXh,,black cap that has no brim,clothing,clothing,True,True,clothing,True,4.17621111869812,True,True
35,black jacket,https://drive.google.com/uc?export=download&id=1diALY-IkPaw_eqoEaexka5S5a-TbjRmS,,black jacket with some yellow text,clothing,clothing,True,True,clothing,True,4.497802972793579,True,True
36,عباية,https://drive.google.com/uc?export=download&id=1cIbKD6DQWeCwIsB9Qwgo9NORhstU542r,,كحلية وعندها ازرار ورود,clothing,clothing,True,True,clothing,True,4.1422789096832275,True,True
37,niqab,https://drive.google.com/uc?export=download&id=1glBd5KzEWbP8NFEgZ6aJ-stzORMk4ti4,,lost my niqab in riyadh park bathrooms,clothing,clothing,True,True,clothing,True,4.985184907913208,True,True
38,Lipstick,https://drive.google.com/uc?export=download&id=1bAvn3VLHXNBZ2Ik1F5HwUbe-mJuW090C,,A black lipstick tube with a clear bottom showing a pink color,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,4.21424412727356,True,True
39,Perfume,https://drive.google.com/uc?export=download&id=1Qo3Y8D5dG040mPTWtf3Ms3KrKWq6zr63,,Transparent perfume bottle with black cap,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,5.426159858703613,True,True
40,عطر,https://drive.google.com/uc?export=download&id=1AiSIw0L-PtkXb2FclBcZkXpIw8TcfVeh,,عطر نسائي,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,2.4046108722686768,True,True
41,عطر,https://drive.google.com/uc?export=download&id=1BWHpgYmBXD_43w936KMmOCtHxJZ3ZdSm,,عطر,cosmetics and personal care,cosmetics and personal care,True,True,,False,1.4892020225524902,False,False
42,عطر,https://drive.google.com/uc?export=download&id=180Q-QLtiddvjcv61PttkIWxAcby2vUM6,,عطر صغير لونه ازرق,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,5.383657932281494,True,True
43,عطر,https://drive.google.com/uc?export=download&id=1yT7VNd5hOpDz7nLbU9UQb2uBRMTjLy8l,,عطر من ماركة Guerlain,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,4.33112096786499,True,True
44,كريم,https://drive.google.com/uc?export=download&id=1t8agEBBj9l7mv7rBTqhR0J6vWa2XbxOu,,كريم,cosmetics and personal care,cosmetics and personal care,True,True,,False,2.212801218032837,False,False
45,عطر,https://drive.google.com/uc?export=download&id=1v8nNXqVAeu-d6btHqNviCLkuGkQIcTTM,,عطر يتميز برائحة زهرية جميلة تجمع بين الورد والياسمين,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,5.910760879516602,True,True
46,عطر,https://drive.google.com/uc?export=download&id=17j1a4mQ9Gkf1IS44gE-N9lsPradxOSKp,,عطر لونه وردي عليه غطاء فضي,cosmetics and personal care,cosmetics and personal care,True,True,cosmetics and personal care,True,4.196018218994141,True,True
47,قصص مصوره,https://drive.google.com/uc?export=download&id=1y8tVJp7uV1zEmr4zHLA9Yh8FQhJ28jZx,,كتاب قصص مصوره ضائع,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,5.026289939880371,True,True
48,بطاقة جامعية,https://drive.google.com/uc?export=download&id=1_ILY7PaSJ434Wd3oLTKjeu2BlnLSDcK_,,بطاقة جامعة الملك سعود لونها ازرق,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,3.4864139556884766,True,True
49,بطاقة هوية,https://drive.google.com/uc?export=download&id=1eichuBkt6MsjNMXwPEK5Vs11z-iOyNe1,,ضيعتها بالمترو محطة الحمراء,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,2.5096659660339355,True,True
50,جواز,https://drive.google.com/uc?export=download&id=1tSpnTWiWYEUOwypzFHC9DJk981C_AViM,,جواز سفر لقيته بالمطار,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,3.109495162963867,True,True
51,كتاب,https://drive.google.com/uc?export=download&id=1bJ3RAOMBHmrXu7zdBemYj_5jPBWacUWQ,,كتاب هاري بوتر,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,2.106969118118286,True,True
52,دفتر,https://drive.google.com/uc?export=download&id=1JNhwf9YtgVgzTchzqRWf0jIHtuVcV9Sb,,دفتر فيزياء اخضر لقيته بقاعة 13 بجامعة سعود بنات,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,2.4000980854034424,True,True
53,بطاقة,https://drive.google.com/uc?export=download&id=1-s9wC9lfanvk4rQruN1h_yEEd9_TIZHb,,بطاقة بنكية,documents/books and ids,documents/books and ids,True,True,bags and wallets,True,5.48714804649353,False,True
54,credit card,https://drive.google.com/uc?export=download&id=1uXLU5FpXfo7hxgBbuKuGrhL07QLNa_j3,,mada card,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,2.5909087657928467,True,True
55,بطاقة درب,https://drive.google.com/uc?export=download&id=1dNed7XcNYURotLhvhD5LT6fDUXXwhc93,,بطاقة درب,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,2.5181100368499756,True,True
56,ملف,https://drive.google.com/uc?export=download&id=1dFZcTuqzXjka8y9lVqm8LydlxED2VniL,,ملف فيه اوراق,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,9.153589963912964,True,True
57,notebook,https://drive.google.com/uc?export=download&id=1_hvyv472s0Zyw4Oe6MWJyoGSzyFHC654,,it has a gray cover with “self-discipline” written on it,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,5.245387077331543,True,True
59,كتاب,https://drive.google.com/uc?export=download&id=13qeSA94sTOVJDnzcLLAlmC_xQZwHxAIn,,كتاب المعاصر النسخه السابعه,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,4.61439323425293,True,True
60,كتاب,https://drive.google.com/uc?export=download&id=11JtCHIB0Tm_Qe30_D9l-YgRLIpCueKiA,,كتاب الفتى المتيم والمعلم للكاتبة ايليف شافاك لونه بنفسجي وعليه صورة فيل,documents/books and ids,documents/books and ids,True,True,documents/books and ids,True,8.964262008666992,True,True
58,مصحف بحجم كبير,https://drive.google.com/uc?export=download&id=15rGiiNFcwNgugVovmdgNPIbBkLvFfpXr,,مصحف مفسر بطول ٥٠ سم وعرض ٣٠ سم,documents/books and ids,documents/books and ids,False,True,documents/books and ids,True,10.267819166183472,True,False
61,قلم ايباد,https://drive.google.com/uc?export=download&id=1QmaxC_iEHShval-8ZXdreziSAZ-rqnr9,,قلم ايباد لونه ابيض,electronics,electronics,True,True,electronics,True,3.493656873703003,True,True
62,Xbox controller,https://drive.google.com/uc?export=download&id=1bwoLTKiXOrEsk0Wp5UMPw64Rbq3qLGgo,,يد الكترونية تحتوي على أزرار وأسهم وعصا تحكم، تستخدم في لعب الألعاب الالكترونية,electronics,electronics,True,True,electronics,True,5.051295042037964,True,True
63,Iphone 17,https://drive.google.com/uc?export=download&id=1TlWaLpo7gyfzwqeuberYFXJvsaSlop6Q,https://drive.google.com/uc?export=download&id=1m3Ep3x1oGODejEDKo5uvr3ToR5QplLLP,Iphone with two cameras,electronics,electronics,True,True,electronics,True,2.900820016860962,True,True
64,جوال ايفون سكري,https://drive.google.com/uc?export=download&id=1ok7t2yjFTo_UrwXiZXc1NNYBV3vC85oc,,جوال ايفون,electronics,electronics,True,True,electronics,True,1.951000690460205,True,True
65,Phone,https://drive.google.com/uc?export=download&id=19W-8zqjkoed9D78mSYQ9KuHnPD620iqn,https://drive.google.com/uc?export=download&id=163a0HoyRSFaq9khcIOwpZrr-1oJh_7_Q,هاتف متنقل,electronics,electronics,True,True,electronics,True,9.58732795715332,True,True
66,Earphones,https://drive.google.com/uc?export=download&id=1K07t4-bciJUwWROedHClF6SkE3Yg65AK,,White wired earphones,electronics,electronics,True,True,electronics,True,5.8281779289245605,True,True
67,Laptop,https://drive.google.com/uc?export=download&id=15sonxAS9lJch9cW2YLzv2pVumahBxdzr,,Black laptop MacBook,electronics,electronics,True,True,electronics,True,4.397768974304199,True,True
68,لابتوب,https://drive.google.com/uc?export=download&id=15UVdQpDugKVNFLb01iel0ODH2ySsQ9Bp,https://drive.google.com/uc?export=download&id=1T3qnB4BQKfm_p2IgxvxXn7JYxswwm1N9,جهاز الكتروني مع كيبورد وشاشه,electronics,electronics,True,True,electronics,True,3.8190579414367676,True,True
69,جوال,https://drive.google.com/uc?export=download&id=157tORQguA8ApzicfwJhcxaQwpjX-EyHP,,جوال اسود,electronics,electronics,True,True,electronics,True,4.937721014022827,True,True
70,ساعة,https://drive.google.com/uc?export=download&id=1nF7KmHw7KEuIXhyXXFqF1HynHWuqcxon,https://drive.google.com/uc?export=download&id=16YxD8f3V7dvw1f5bLz04uLjo042JhErh,ساعة الكترونية باسوارة مطاطية,electronics,electronics,True,True,electronics,True,7.834535837173462,True,True
71,جهاز العاب,https://drive.google.com/uc?export=download&id=1HY0ya3ZD8apqCHHJjUtvD0z73pb3tu9Z,,جهاز العاب للاطفال شكله مكعب,electronics,electronics,True,True,electronics,True,3.019007921218872,True,True
72,Instant/digital camera,https://drive.google.com/uc?export=download&id=1dPTacK4B-AkErsCTVsH-JdC11wwXpxEe,,Instant camera,electronics,electronics,True,True,electronics,True,4.956770658493042,True,True
73,قلم ايباد الجيل الثاني (Apple pencil),https://drive.google.com/uc?export=download&id=1MBPbpI2OQlYT4JcfyWghyQBXc42_4pAa,,القلم فيه شطب من جهة الراس,electronics,electronics,True,True,electronics,True,2.627094030380249,True,True
74,قلم ايباد,https://drive.google.com/uc?export=download&id=1zg5BvouUIf-7tmAG5j2BE_oEmeTk53ou,,قلم ايباد الجيل الأول من ابل,electronics,electronics,True,True,electronics,True,2.5691308975219727,True,True
75,ريموت,https://drive.google.com/uc?export=download&id=12YSO9JDXyCs9sXgoV0mOerJg1I5jL1ZP,,ريموت تلفزيون,electronics,electronics,True,True,electronics,True,5.599033832550049,True,True
90,اله حاسبة,https://drive.google.com/uc?export=download&id=17tEdFh5Q0MLiYIyufW7vlvvk-QVeM5Vu,,اله حاسبة عليها ملصقات,electronics,electronics,True,True,electronics,True,8.404774904251099,True,True
76,مفتاح,https://drive.google.com/uc?export=download&id=1_GooawOBSVqhz3Gmf3WfbB54eq3dAibw,https://drive.google.com/uc?export=download&id=1WfrUuOWSmNCNlPyIEJwdkBVAq2_YIWX5,مفتاح معدني,keys,keys,True,True,keys,True,9.862964868545532,True,True
77,Car key,https://drive.google.com/uc?export=download&id=1aw3W1cF06FpQYHmS_n6liBFTnD2ZqUZr,,Car key - Rav4,keys,keys,True,True,keys,True,7.141077995300293,True,True
78,مفتاح,https://drive.google.com/uc?export=download&id=17_CqSmVL3qLzgGiLRjPMT3LcGipmar0z,,مفتاح باب الكراج رمادي اللون,keys,keys,True,True,keys,True,3.2574517726898193,True,True
79,مفاتيح,https://drive.google.com/uc?export=download&id=1rzqezhj-vp7v3TlRyTN_qRToB_vJhOFD,,مفتاحين ثنين,keys,keys,True,True,keys,True,7.381424903869629,True,True
80,مفتاح,https://drive.google.com/uc?export=download&id=1cr5sbMKDCxzkuKtqiOZuLp8p33SgOJxX,,مفتاح لوكر,keys,keys,True,True,keys,True,4.808336019515991,True,True
81,مفاتيح,https://drive.google.com/uc?export=download&id=1QzC5x3A1IRjWf_tEuDouioW3_jYrDHY_,,مفتاح كامري وريموت ومفتاح بيت,keys,keys,True,True,keys,True,4.626082897186279,True,True
82,مفتاح البيت,https://drive.google.com/uc?export=download&id=19RpWdrdUb5Uf62XzIXek2XjZrkAGsNSd,https://drive.google.com/uc?export=download&id=1PaGwSVgoUP21FpKCZ2b5-ysIulOCaEYM,مكون من اربع مفاتيح ومعه ميدالية من ماركة لويس فتون واحد من المفاتيح لونه ازرق,keys,keys,True,True,keys,True,10.662478923797607,True,True
83,مفاتيح سيارة,https://drive.google.com/uc?export=download&id=1ij2BgF998Y8G-euirVoeaip22R0oeboX,https://drive.google.com/uc?export=download&id=1etI9CUAJrCFmRF-zUKkvQjIRRa1Q8O34,مفاتيح سيارة,keys,keys,True,True,keys,True,9.89864706993103,True,True
84,مفاتيح منزل,https://drive.google.com/uc?export=download&id=1Tx8-zYcJrHiOUBuNYig7xdvUu_nspCDk,https://drive.google.com/uc?export=download&id=1NvF9KLeakoARPqHGJxWPyCfhL2OxosiO,مفاتيح عادية,keys,keys,True,True,keys,True,10.128504991531372,True,True
85,room keys,https://drive.google.com/uc?export=download&id=1ftIZkaMF4sFro278LOyPWzc6x_PzFqHZ,,keys with a hotdog lego keychain and a weird looking metal guy,keys,keys,True,True,keys,True,4.631671905517578,True,True
32,وجد,https://drive.google.com/uc?export=download&id=1QxYgag8iyviORwgtlO_ZM9jAL97mP5M2,,رائع وجميل,,,False,False,,False,1.2814218997955322,False,True
87,Aaaa,https://drive.google.com/uc?export=download&id=1XMW5G6EAfLOYYGbkIUlUZyiA_hMKGvKq,,Aaaaa,,,False,False,,False,1.2246968746185303,False,True
86,منديل,https://drive.google.com/uc?export=download&id=1fM2h1_r25v3lZ2ptZn7YyJBTqpXhBgUf,https://drive.google.com/uc?export=download&id=1vFHQDQ5t-oacLlGz7nfMcrufCJ_EyJSk,منديل يستخدم لتمسيح,others,others,True,True,,False,5.0667431354522705,False,False
88,بودره سجاد,https://drive.google.com/uc?export=download&id=1N_O73RvaZ1ejf_k3-bPHTIA2mXlH2RIX,https://drive.google.com/uc?export=download&id=1OJUDhh2lIUiyKp_3hGh2-0nPy1K0NQ9N,بنادول,others,others,True,True,,False,3.47902774810791,False,False
89,كوب,https://drive.google.com/uc?export=download&id=1ZgjzbzjO7DYr_lBBKdk370sQVgRy0a1L,,كوب شفاف على طاولة,others,others,True,True,others,True,5.435979127883911,True,True
91,قبضة تمرين,https://drive.google.com/uc?export=download&id=1wiobO_qPUQDv_y9MjRx5x2Qo3KaFMk6R,,لونها رصاصي واسود حدها ٦٠kg فيها عداد للقبضات,others,others,True,True,others,True,6.1822190284729,True,True
92,rubik's cube,https://drive.google.com/uc?export=download&id=1Z_TI9lq5vyZqWqKRQldRgXIwqEVUJh2i,,"لقيته ف الحديقه
مكعب غير مرتب
الوانه ازرق وابيض واحمر وبرتقالي واصفر واخضر
",others,others,True,True,others,True,5.5682761669158936,True,True
93,شيكر,https://drive.google.com/uc?export=download&id=17BtGhwoitdzT77aCqzT-cy_NODD8JxQv,,شيكر لونه اصفر,others,others,True,True,others,True,4.097877025604248,True,True
94,ترامس قهوة و شاي,https://drive.google.com/uc?export=download&id=1qAAlA0j7IQw7s4Wm5q-W2OrhWhgtyiEw,,ترامس قهوة و شاي,others,others,True,True,,False,2.1469409465789795,False,False
95,عدسة مكبرة,https://drive.google.com/uc?export=download&id=1ybkqhIoOilIiZWMzG9zLbgSBmSyTWCjP,,عدسة مكبره,others,others,True,True,others,True,5.193354845046997,True,True
96,فنجال,https://drive.google.com/uc?export=download&id=1h5UnVXkN3io4BGd97ho76Pgt-7PP0hng,https://drive.google.com/uc?export=download&id=1D_lOqdd1GTn86b6WMkKv6VJhM2IMlieA,فنجال فيه قهوة سعودية,others,others,True,True,,False,5.8867268562316895,False,False
97,مطارة,https://drive.google.com/uc?export=download&id=1BOjeIbMY98BYvjBE_81BdY5TULiHLNVZ,https://drive.google.com/uc?export=download&id=1Za_-7r41mXnzvTnomFn41zWDWzEbfjjq,مطارة مويه / حافظة ماء / قارورة ماء ذات لون اسود بسعة 600 مل تحمل كتابة بيضاء مصنوعة من البلاستيك,others,others,True,True,others,True,3.565999746322632,True,True
98,مقص,https://drive.google.com/uc?export=download&id=1G0EaFZrZVrXuwOlBwoXAt9yj-eq15J9S,,اداة لها طرفين حادة بعض الشيء تستخدم لقص الاشياء البسيطة والرقيقة كالورق والاقمشة والخيوط,others,others,True,True,others,True,1.986604928970337,True,True
99,فنجال قهوه,https://drive.google.com/uc?export=download&id=184i6XIyQbk1UYLzgDUWpTBcxXwGsqK_M,,الكوب المستخدم لشرب القهوة السعودية,others,others,True,True,,False,2.6430180072784424,False,False
100,retainer,https://drive.google.com/uc?export=download&id=15kenE-CKHRbM38TpZfz2NKAw3xPbFJlz,,i lost it in the university cafeteria,others,others,True,True,accessories and jewelry,True,3.4530160427093506,False,True
